,year,month,curr_month,prev_month,1_year_ago
93,2020,10,9.838709677419354,8.5,10.870967741935484
94,2020,11,12.8,9.838709677419354,12.333333333333334
95,2020,12,13.903225806451612,12.8,15.466666666666667
96,2021,1,15.516129032258064,13.903225806451612,15.129032258064516
97,2021,2,15.392857142857142,15.516129032258064,16.285714285714285
98,2021,3,14.774193548387096,15.392857142857142,15.774193548387096
99,2021,4,13.433333333333334,14.774193548387096,12.533333333333333
100,2021,5,9.709677419354838,13.433333333333334,10.709677419354838
101,2021,6,7.633333333333334,9.709677419354838,6.5
102,2021,7,8.129032258064516,7.633333333333334,6.354838709677419
103,2021,8,7.903225806451613,8.129032258064516,6.838709677419355
104,2021,9,9.233333333333333,7.903225806451613,8.5
105,2021,10,11.32258064516129,9.233333333333333,9.838709677419354
106,2021,11,12.666666666666666,11.32258064516129,12.8
